SMILES,pIC50
CN1CC(Oc2cc(NC(=O)Nc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)cc3)cc(C(F)(F)F)c2)C1,8.04
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(-c5ccccc5)no4)c3)c2cc1OC,4.82
COc1ccc(NC(=O)c2ccc(C(F)(F)F)c(Nc3ncnc4cnc(NCCN5CCOCC5)nc34)c2)cc1C(F)(F)F,6.5
COc1cc(Nc2cncc(Oc3ccc(NC(C)=O)c4ccccc34)n2)cc(OC)c1OC,6.25
COc1cc(-c2ccc3ncnc(Nc4ccc(Cl)cc4O)c3c2)ccc1O,5.91
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(F)F)no4)c3)c2cc1OC,6.19
CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(Cl)c(C(F)(F)F)c4)[nH]c3c2)ccn1,6.55
CC(=O)Nc1cn2cc(-c3cc(NC(=O)c4cccc(Cl)c4)ccc3C)ccc2n1,9.52
COc1cccc(C(=O)Nc2ccc(C)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2)c1,8.92
NC(=O)c1sc2nc(NC3CC3)nc(-c3cccc(CO)c3)c2c1N,5.88
O=C(c1cccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1F)c1c[nH]c2ncncc12,5
COCCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC,7
Cc1ncc(NC(=O)c2ccnc(C(C)(C)C#N)c2)cc1-c1ccnc(N2CCOCC2)c1,7.87
Cn1nc(C(C)(C)C)cc1NC(=O)c1cc(Cl)cc(Nc2ncnc3cnc(N4CCCC4)nc23)c1,8.4
CCn1c(=O)n(CC)c2c(Oc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3)ccnc21,6.52
Cc1ccc(C(=O)Nc2cc(N3CCN[C@H](C)C3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,9
COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,5
Cn1nc(C(C)(C)C)cc1C(=O)Nc1cccc(Nc2cc3c(cc2Cl)C(=O)NC3=O)c1,6.46
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4cccc(C(C)(C)C)c4)nc3c2)ccn1,7.59
CCN1C2CCC1CC(c1ccnc3c(-c4ccc(Cl)c(O)c4)c(-c4ccncc4)nn13)C2,9.3
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1ccnc(N2CCO[C@H](CO)C2)c1,8.83
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1NC(=O)c1cnc(NC2CCCC2)nc1,6.64
CCNc1ncc(C(=O)Nc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)cn1,6.29
CNC(=O)c1cc(Oc2ccc3c(c2)nc(NC2CCCCC2)n3C)ccn1,5.36
COc1ccc(-c2ccc3nccc(Nc4cccc5[nH]ncc45)c3c2)cc1Cl,6.565
O=C(Nc1cccc(-c2ccnc3cc(-c4ccnc(NCCCN5CCCC5=O)c4)nn23)c1)c1cccc(C(F)(F)F)c1,6.96
O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc(-c4ccccc4Cl)c[nH]3)ccnc2N1,8.48
Cc1ccc(C(=O)Nc2cc(N3CCCN(C)CC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2ccc(N3CCOCC3)nc12,8.3
C#Cc1cccc(N2C(=O)c3c(F)ccc(F)c3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1F,7
O=C(c1ccc(C(F)(F)F)c(F)c1)N1N=C(c2cccnc2)CC1c1ccccc1O,6.18
Cc1ccc(C(=O)Nc2cc(OCCN3CCOCC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,8.52
N#Cc1cccc(N2C(=O)c3ccccc3C2(O)c2ccc3c(c2)NC(=O)CO3)c1,6
COC(=O)Nc1nc2cc(C3(O)NC(=O)c4ccccc43)ccc2[nH]1,5
Cn1cc(-c2cccc3[nH]ncc23)c(-c2ccncc2)n1,6.33
O=C(Nc1cccc(-c2ccnc3c(-c4cnn(CCN5CCCC5)c4)cnn23)c1)c1cccc(C(F)(F)F)c1,6.41
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1-n1cc(-c2cncc(N3C[C@@H]4C[C@H]3CN4)c2)nn1,8.4
COCCNc1ncc2ncnc(Nc3cc(C(=O)Nc4cc(CN5CCCC5)cc(C(F)(F)F)c4)ccc3C)c2n1,9
CCn1cc(-c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2C)cc(N2CCOCC2)c1=O,8.42
COc1cc(Nc2cncc(Oc3cccc4c3CCCC4=O)n2)cc(OC)c1OC,4.54
