Smile,pIC50
O=C(Cc1cccc(OC(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1,5
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1-n1cc(-c2cncc(N(C)C3CCN(C)CC3)c2)nn1,7.92
O/N=C1\CCc2cc(-c3cn([C@H]4CCC[C@H]4O)nc3-c3ccncc3)ccc21,8.41
COc1cc(Nc2cncc(-c3cccc(O)c3)n2)cc(OC)c1OC,5.4
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,8.7
NC(=O)c1ccc2[nH]cc(-c3cccc(O)c3)c2c1,5
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3C(=O)Nc3cc(Cl)c(F)cc3F)cc2[nH]1,7
O/N=C1\CCc2cc(-c3cn(C4CCCC4)nc3-c3ccncc3)ccc21,8.46
COc1cc(Nc2cncc(Oc3cccc4c3CC/C4=N\O)n2)cc(OC)c1OC,5.85
CCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]nc(OC)c3c2)c1F,7.6
CCOC(=O)c1oc2cnccc2c1Nc1ccc2ccccc2c1,6.75
Cc1ccc(C(=O)NCC2CCOC2)cc1Nc1ncnc2cnc(N3CCCN(C)CC3)nc12,5.15
CC1(C)OC(c2ccnc(NCCO)n2)=C(c2cc(Cl)cc(NS(=O)(=O)c3cc(F)ccc3F)c2F)C1=O,7.96
Cc1ccc(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N(C)CCN(C)C)nc12,8.7
COc1ccc(NC(=O)c2ccc(C(F)(F)F)c(Nc3ncnc4cnc(N(C)CCN5CCCC5)nc34)c2)cc1C(F)(F)F,6.35
CCCN1CCN(c2cncc(-c3cn(-c4cc(NC(=O)c5ccc(C(C)(C)C)s5)ccc4C)nn3)c2)CC1,8.05
COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NC(=O)Cc5cccc(Cl)c5)c4F)nn3)cc12,7.08
Cc1ccc(NC(=O)c2ccc(C(C)(C)C)s2)cc1-n1cc(-c2cncc(N3CCN(C(=O)OC(C)(C)C)CC3)c2)nn1,6.85
CC(=O)N[C@@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,6.72
CNC(=O)c1cc(Oc2ccc(C3CC(c4ccc([N+](=O)[O-])cc4)=NN3)cc2)ccn1,4.3
Cc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1NC(=O)C1(c2ncnc3[nH]ccc23)CC1,8.68
Cc1ccc(NC(=O)c2ccnc(S(C)(=O)=O)c2)cc1-c1cc(N2CCOCC2)c(=O)n(C)c1,8.66
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)nn2C)cc1-n1cc(-c2cncc(N3CCN(C)CC3)c2)nn1,7.8
COCC(C)Nc1cncc(-c2cn(-c3cc(C(=O)Nc4cc(C(C)(C)C)on4)ccc3C)nn2)c1,7.51
O=C1Nc2nccc(Oc3ccc4c(c3)C3C(O4)C3c3nc4ccc(C(F)(F)F)cc4[nH]3)c2CO1,7.59
Cc1ccc(C(=O)Nc2cccc(S(=O)(=O)N(C)C)c2)cc1Nc1ncnc2cnc(N3CCN(C)CC3)nc12,8.15
O=C(Nc1cccc(-c2ccnc3c(-c4cn[nH]c4)cnn23)c1)c1cccc(C(F)(F)F)c1,7.08
CCCCN1CCN(c2cncc(-c3cn(-c4cc(C(=O)Nc5cc(C(C)(C)C)on5)ccc4C)nn3)c2)CC1,7.82
O=C(c1c(F)ccc(NS(=O)(=O)c2c(F)cccc2F)c1F)c1c[nH]c2ncc(Cl)cc12,7
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(Cl)c(F)c(Cl)c3)ccc2[nH]1,6
O=C(Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1)Nc1ccc(F)c(C(F)(F)F)c1,7.59
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4ccc(C5CCN(C(C)C)CC5)nc34)c2)cc(C(C)(C)C)cc1NS(C)(=O)=O,6.59
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]nc(I)c3c2)c1F,8.74
CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,5
CNc1ncc2ncnc(Nc3cc(C(=O)Nc4cc(C(C)(C)C)on4)ccc3F)c2n1,8.22
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCC[C@H]5CO)nc34)c2)cc1C(F)(F)F,8.4
Cc1cc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2CCCn2ccnc2)co1,4
C#Cc1cccc(NC(=O)c2ccccc2C(=O)c2ccc3nc(NC(=O)OC)[nH]c3c2)c1F,7
COc1cc(-c2ccc3ncnc(Nc4cccc(O)c4)c3c2)ccc1O,7.475
Cc1ccc(NC(=O)c2ccc(C(C)(C)C)o2)cc1-n1cc(-c2cncc(N3CCOCC3)c2)nn1,8.05
O=C1CNc2ccc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)cc2N1,6
COCCN1CCN(c2ccc3ncnc(Nc4cc(C(=O)Nc5ccc(OC)c(C(F)(F)F)c5)ccc4C)c3n2)CC1,6.85
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)cc2)ccn1,6.63
CCOC(=O)Nc1nc2ccc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)cc2[nH]1,5
COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N/c4ccc(C)cc4)c3F)cc12,7.49
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCCOCC5)nc34)c2)cc1C(F)(F)F,9
O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]nc(-c4ccccc4)c3c2)c1F)c1cccnc1,7.8
COC[C@@H]1CCCN1c1ncc2ncnc(Nc3cc(C(=O)Nc4cc(C(C)(C)C)on4)ccc3C)c2n1,8.52
Nc1ncc(-c2cccnc2)c2scc(-c3cccc(NC(=O)Cc4ccccc4)c3)c12,7.72
COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,4.4
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1ncnc2c(N)nc(N3CC4CC3CN4C)nc12,8.05
Cn1nc(C(C)(C)C)cc1NC(=O)c1cc(Cl)cc(Nc2ncnc3cnc(N4CCCC4)nc23)c1Cl,5.7
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4ccc(N5CC[C@@H](F)C5)nc34)c2)cc(C(C)(C)C)cc1NS(C)(=O)=O,7.6
O=C(O)[C@H]1CCCN1C(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,8.68
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCN1CCCCC1,6.53
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1Nc1ncnc2cnc(N3CCCN(C)CC3)nc12,8.52
O/N=C1\CCc2cc(-c3cn([C@@H]4CCC[C@H](O)C4)nc3-c3ccncc3)ccc21,10.4
CC(C)(C)c1cc(NC(=O)c2ccc(Cl)c(Nc3ncnc4cnc(N5CCCCCC5)nc34)c2)no1,8.1
CNC(=O)c1cc(Oc2ccc(Nc3nc4cc(Cl)ccc4[nH]3)cc2)ccn1,4.6
CN1CCC(CN2CCN(c3ncc4ncnc(Nc5cc(C(=O)Nc6cc(C(C)(C)C)on6)ccc5F)c4n3)CC2)CC1,9
Cc1ccc(C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCN(C)CC3)nc12,8.7
Nc1cccc(-c2csc3c(-c4cccnc4)cnc(N)c23)c1,5
CCNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc2ccc(Br)cc2)n3C)ccn1,7.89
CC(F)(F)c1ccnc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2)c1,7.82
N#Cc1ccnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4ccccc4F)c3F)c12,8
O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4ccc(Cl)cc4[nH]3)ccnc2N1,7.92
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1-n1cc(-c2cncc(N(C)C3CCOCC3)c2)nn1,8.15
Cc1ccc(C(=O)Nc2cc(N3CCN(C)CC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2ccc(N3CCOCC3)nc12,8.4
CNC(=O)c1ccc(Sc2ccc(NC(=O)Nc3ccc(F)c(C(F)(F)F)c3)cc2)nc1,7.255
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cccc(OC)c3)ccc2[nH]1,7
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5C[C@@H](C)O[C@@H](C)C5)nc34)c2)cc1C(F)(F)F,8.4
